vacancy_name,salary_min,salary_max,salary_currency,vacancy_link,site
Senior Python Developer,,3000.0,EUR,https://hhcdn.ru/click?b=224723&place=35,hh.ru
Программист Python,2000.0,4500.0,USD,https://ussuriysk.hh.ru/vacancy/46380909?query=Python,hh.ru
Back-end Developer (Node/Java/Python),,,,https://ussuriysk.hh.ru/vacancy/46222999?query=Python,hh.ru
DevOps Инженер (Python),,,,https://ussuriysk.hh.ru/vacancy/46408662?query=Python,hh.ru
Python Developer,,,,https://ussuriysk.hh.ru/vacancy/44367795?query=Python,hh.ru
Преподаватель Python,150000.0,250000.0,KZT,https://ussuriysk.hh.ru/vacancy/46263154?query=Python,hh.ru
Senior Backend Software Engineer /Python/,,,,https://ussuriysk.hh.ru/vacancy/46302040?query=Python,hh.ru
Стажер-разработчик Python,,,,https://ussuriysk.hh.ru/vacancy/46374654?query=Python,hh.ru
Junior Python Developer,,,,https://ussuriysk.hh.ru/vacancy/46391520?query=Python,hh.ru
Junior Python developer,40000.0,80000.0,руб.,https://ussuriysk.hh.ru/vacancy/46368329?query=Python,hh.ru
Junior Python Backend Developer,50000.0,,руб.,https://ussuriysk.hh.ru/vacancy/46128635?query=Python,hh.ru
Python разработчик,250000.0,,руб.,https://ussuriysk.hh.ru/vacancy/46314277?query=Python,hh.ru
Junior Python developer (в Сочи),65000.0,,руб.,https://ussuriysk.hh.ru/vacancy/45849649?query=Python,hh.ru
Python developer (Middle+/Senior),250000.0,400000.0,руб.,https://ussuriysk.hh.ru/vacancy/46417735?query=Python,hh.ru
Python Developer Intern,,,,https://ussuriysk.hh.ru/vacancy/46385410?query=Python,hh.ru
Разработчик Python,120000.0,160000.0,руб.,https://ussuriysk.hh.ru/vacancy/46199185?query=Python,hh.ru
Python developer / data engineer (Jun->Mid),120000.0,150000.0,руб.,https://ussuriysk.hh.ru/vacancy/46392030?query=Python,hh.ru
Программист Python,20000.0,20000.0,руб.,https://ussuriysk.hh.ru/vacancy/46207091?query=Python,hh.ru
Разработчик Python,130000.0,200000.0,руб.,https://ussuriysk.hh.ru/vacancy/46100136?query=Python,hh.ru
Junior+ Python Back End Developer,,2000.0,USD,https://ussuriysk.hh.ru/vacancy/46309261?query=Python,hh.ru
Программист Python (веб и мобильные проекты),40000.0,,руб.,https://ussuriysk.hh.ru/vacancy/46138181?query=Python,hh.ru
Python Developer,3500.0,4000.0,USD,https://ussuriysk.hh.ru/vacancy/46401640?query=Python,hh.ru
Python Developer (Middle/Senior),200000.0,,руб.,https://ussuriysk.hh.ru/vacancy/45312291?query=Python,hh.ru
Middle Backend разработчик (Python),160000.0,,руб.,https://ussuriysk.hh.ru/vacancy/46166950?query=Python,hh.ru
Backend developer (Python),200000.0,,руб.,https://ussuriysk.hh.ru/vacancy/45778408?query=Python,hh.ru
Python-разработчик,,,,https://ussuriysk.hh.ru/vacancy/46356941?query=Python,hh.ru
Программист Python,115000.0,220000.0,руб.,https://ussuriysk.hh.ru/vacancy/46417309?query=Python,hh.ru
Аналитик Python,70000.0,85000.0,руб.,https://ussuriysk.hh.ru/vacancy/46273824?query=Python,hh.ru
Middle Python developer,150000.0,,руб.,https://ussuriysk.hh.ru/vacancy/45555166?query=Python,hh.ru
Python developer,70000.0,90000.0,руб.,https://ussuriysk.hh.ru/vacancy/45961829?query=Python,hh.ru
Middle Python Developer (микросервисная архитектура),90000.0,110000.0,руб.,https://ussuriysk.hh.ru/vacancy/45878039?query=Python,hh.ru
Senior Python Backend Developer (Machine Learning),250000.0,350000.0,руб.,https://ussuriysk.hh.ru/vacancy/46154323?query=Python,hh.ru
Python developer удаленно,180000.0,230000.0,руб.,https://ussuriysk.hh.ru/vacancy/44476355?query=Python,hh.ru
Программист Python,30000.0,60000.0,руб.,https://ussuriysk.hh.ru/vacancy/45817255?query=Python,hh.ru
Программист-разработчик Python / Django + PostgreSQL,100000.0,120000.0,руб.,https://ussuriysk.hh.ru/vacancy/45904047?query=Python,hh.ru
Python Developer (Django),130000.0,160000.0,руб.,https://ussuriysk.hh.ru/vacancy/45988894?query=Python,hh.ru
Python-разработчик,200000.0,,руб.,https://ussuriysk.hh.ru/vacancy/45835954?query=Python,hh.ru
Middle Python Engineer (Remote),150000.0,210000.0,руб.,https://ussuriysk.hh.ru/vacancy/46305789?query=Python,hh.ru
Программист Python,60000.0,200000.0,руб.,https://ussuriysk.hh.ru/vacancy/43904365?query=Python,hh.ru
Python Developer (remote),150000.0,220000.0,руб.,https://ussuriysk.hh.ru/vacancy/46297148?query=Python,hh.ru
Middle QA Automation Engineer (Python),180000.0,250000.0,руб.,https://ussuriysk.hh.ru/vacancy/46339361?query=Python,hh.ru
Разработчик Python\Django (middle\senior),120000.0,220000.0,руб.,https://ussuriysk.hh.ru/vacancy/46331441?query=Python,hh.ru
Junior/ Middle JS Developer в Python отдел,,,,https://ussuriysk.hh.ru/vacancy/45809010?query=Python,hh.ru
Python Developer (Middle/Senior),200000.0,,руб.,https://ussuriysk.hh.ru/vacancy/46098189?query=Python,hh.ru
Python developer (Middle),,150000.0,руб.,https://ussuriysk.hh.ru/vacancy/44887332?query=Python,hh.ru
Разработчик Python,,,,https://ussuriysk.hh.ru/vacancy/45346449?query=Python,hh.ru
Python разработчик / Data Analysis,,,,https://ussuriysk.hh.ru/vacancy/46380693?query=Python,hh.ru
Python/Go разработчик,,,,https://ussuriysk.hh.ru/vacancy/44685175?query=Python,hh.ru
Python Developer (BigData),,,,https://ussuriysk.hh.ru/vacancy/45821802?query=Python,hh.ru
Developer Python,,,,https://ussuriysk.hh.ru/vacancy/46244051?query=Python,hh.ru
Middle Python Developer,50000.0,75000.0,руб.,https://ussuriysk.hh.ru/vacancy/36606581?query=Python,hh.ru
Python developer,,,,https://ussuriysk.hh.ru/vacancy/44270356?query=Python,hh.ru
Разработчик Python (ML),,,,https://ussuriysk.hh.ru/vacancy/46372826?query=Python,hh.ru
Python backend разработчик / Python Developer (Middle-Senior),90000.0,190000.0,руб.,https://ussuriysk.hh.ru/vacancy/45711226?query=Python,hh.ru
Разработчик Python,,,,https://ussuriysk.hh.ru/vacancy/46027206?query=Python,hh.ru
Python Developer,,,,https://ussuriysk.hh.ru/vacancy/46390849?query=Python,hh.ru
Senior Python Developer,180000.0,,руб.,https://ussuriysk.hh.ru/vacancy/46211168?query=Python,hh.ru
Python Developer (Data Lab),,,,https://ussuriysk.hh.ru/vacancy/46357233?query=Python,hh.ru
AQA Python Developer,,5000.0,USD,https://ussuriysk.hh.ru/vacancy/46174440?query=Python,hh.ru
Middle/Senior Python Developer (Программист Python),,,,https://ussuriysk.hh.ru/vacancy/46100593?query=Python,hh.ru
Python backend developer,170000.0,,руб.,https://www.superjob.ru/vakansii/python-backend-developer-38020430.html,superjob.ru
Backend-разработчик Python,40000.0,,руб.,https://www.superjob.ru/vakansii/backend-razrabotchik-python-37864978.html,superjob.ru
Backend Python Developer / Backend-разработчик,,,,https://www.superjob.ru/vakansii/backend-python-developer-37767729.html,superjob.ru
Программист-разработчик Python/Django (middle/senior),,300000.0,руб.,https://www.superjob.ru/clients/udachnyj-vybor-2688238.html,superjob.ru
Программист Python,120000.0,,руб.,https://www.superjob.ru/clients/firma-vodokomfort-37863.html,superjob.ru
"Аналитик в отдел планирования (SQL, Python/R)",,,,https://www.superjob.ru/vakansii/analitik-v-otdel-planirovaniya-35583105.html,superjob.ru
Python-разработчик,150000.0,180000.0,руб.,https://www.superjob.ru/vakansii/python-razrabotchik-37759132.html,superjob.ru
Python Backend Developer / WEB-разработчик,,,,https://www.superjob.ru/clients/perfect-systems-4144490.html,superjob.ru
Инженер-разработчик (Python),,,,https://www.superjob.ru/vakansii/inzhener-razrabotchik-38076010.html,superjob.ru
"Full-stack Developer (Python, Javascript)",150000.0,,руб.,https://www.superjob.ru/vakansii/full-stack-developer-38070283.html,superjob.ru
Python / Django-разработчик,,,,https://www.superjob.ru/clients/umbrella-it-4101908.html,superjob.ru
Инженер-программист Python,80000.0,,руб.,https://www.superjob.ru/vakansii/inzhener-programmist-python-37848661.html,superjob.ru
Backend Python разработчик,,250000.0,руб.,https://www.superjob.ru/vakansii/backend-python-razrabotchik-37943204.html,superjob.ru
Python Tech Lead,300000.0,,руб.,https://www.superjob.ru/vakansii/python-tech-lead-38053611.html,superjob.ru
Разработчик Python,,,,https://www.superjob.ru/vakansii/razrabotchik-python-38051959.html,superjob.ru
Python developer middle,200000.0,250000.0,руб.,https://www.superjob.ru/vakansii/python-developer-middle-38151521.html,superjob.ru
